Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence"," but people can attain humanity if they work for it. We should never let go of our humanity and never forget.""",,0.30301768779395605,0.43825072555058114,0.2587315866554628
True evil on the loose,,,0.420860443648774,0.2795835825373229,0.29955597381390303
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,,0.22618881253390644,0.48998270970460317,0.2838284777614904
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,,0.26864626787673335,0.41132988190807795,0.32002385021518864
Savages ,,,0.5761168847658291,0.21194155761708544,0.21194155761708544
Chosen people ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Butchers,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
From the river to the sea Palestine will be free! ,,,0.22862636629159627,0.46735497318644775,0.304018660521956
"God is Sufficient for us, and He is the Best Trustee, the Best Helper, the Best Master, and the Best to rely upon. Khaybar, Khaybar, O Jews, the army of Muhammad will return, Allah is the Greatest, Allah is the Greatest, Allah is the Greatest.",,,0.2326790408606208,0.3782895837496559,0.3890313753897234
And people are still asking why Al Aqsa Flood happened.,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Oh my god,,,0.2326836826569755,0.3790544817418253,0.3882618356011991
Restore the State of Palestine!,,,0.23150009671632663,0.4286240915406589,0.33987581174301457
Boycott Netflix,,,0.4603137395825882,0.3104144374307259,0.22927182298668583
Former US marineâs pro-Palestine interview resurfaces online,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
barbarians,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
If none of you know this is how hamas was created,,,0.22311650828836174,0.5132146063811583,0.26366888533047994
Is that soldier wearing sneakers?,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#IsraelTerrorism,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Another proof,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,,,0.22487354697147813,0.500465282520298,0.27466117050822386
This is what happens to the Palestinians that are supposedly Free,,,0.2271334435906094,0.4818041491867737,0.29106240722261684
In front of his children ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
If none of you know this is how hamas was created,,,0.22311650828836174,0.5132146063811583,0.26366888533047994
Is that soldier wearing sneakers?,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#IsraelTerrorism,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
The IDF is a terrorist organization! That is all,,,0.3517885250866818,0.4161435255308317,0.23206794938248654
"The fact that hours before they made palestinians pose with bottle waters and said ""we're not scum"" (which btw they're the ones depriving them of every basic need). At least wait some days or something.",,,0.23618704003975646,0.546002761634605,0.21781019832563847
US standards of civilization,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"This is why the Palestinians in the West Bank must be armed. Instead of arming the people, the so-called âPalestinianâ Authority does israelâs work for them.",,,0.21558614470899803,0.5580008987800276,0.2264129565109744
I hate Israel the Nazi regime.,,,0.37637903151809843,0.3909566554384093,0.23266431304349225
"Terrorists have often had young children participate in using explosives and weapons.  They are trained in #Hamas ""summer camps"" to do just that.  It's a sad reality.",,,0.3111286839645039,0.45953109064155473,0.22934022539394142
"Hebron is not occupied, it's under PA.
Israel has 'security responsibility' to arrest people that threat to its country, and cause a risk in engaging terror.

I pity his daugther to have witness it, because her father chose to be a criminal.",,,0.3225209216906344,0.42122536851581016,0.25625370979355544
Well done on the space Truth. Appreciate you,,,0.2320223521206678,0.35066582778307687,0.4173118200962554
Thanks!! I appreciate you coming on.,,,0.2300484546669004,0.31903153675510326,0.45092000857799636
Great news,,,0.22466922830961103,0.27331616103934003,0.5020146106510489
But hamas made me do it ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Toddler among US hostages in Gaza â White House,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
